Job Title,Field,Location,Description,Email
Eco-Friendly Software Developer,Computer Science,"Barcelona, Spain","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Barcelona, Spain. Skills Required: C++, Machine Learning, Embedded Systems, Python, Smart Grid Technology. Preferred Qualifications: LEED Certification, Carbon-aware computing expertise.",info@ecosolutions30478181700.com
AI for Energy Optimization Engineer,Electrical Engineering,"Helsinki, Finland","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Helsinki, Finland. Skills Required: C++, Cloud Infrastructure, Java, Carbon Accounting, IoT. Preferred Qualifications: Carbon-aware computing expertise, Experience in smart city projects.",info@solarworks156323.com
AI for Energy Optimization Engineer,Electrical Engineering,"Brussels, Belgium","Responsibilities: Analyze and optimize energy usage using data science tools in Brussels, Belgium. Skills Required: LEED, Energy Modeling, Cloud Infrastructure, Smart Grid Technology, ESG Frameworks. Preferred Qualifications: CEM Certification, M.S. or Ph.D. in relevant field.",info@sustainovate313607.com
Eco-Friendly Software Developer,Environmental Engineering,"Milan, Italy","Responsibilities: Design and implement energy-efficient Environmental Engineering solutions in Milan, Italy. Skills Required: IoT, LCA, Java, Embedded Systems, Energy Modeling. Preferred Qualifications: Experience with green computing, Experience in smart city projects.",info@solarworks156.com
Green Cloud Architect,Computer Science,"Brussels, Belgium","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Brussels, Belgium. Skills Required: SQL, R, Carbon Accounting, Embedded Systems, Cloud Infrastructure. Preferred Qualifications: Experience with green computing, Cloud sustainability knowledge.",info@carbonnet414138693.com
IoT Sustainability Specialist,Computer Science,"Oslo, Norway","Responsibilities: Analyze and optimize energy usage using data science tools in Oslo, Norway. Skills Required: Machine Learning, MATLAB, LEED, Power Electronics, Cloud Infrastructure. Preferred Qualifications: Knowledge of renewable energy systems, Cloud sustainability knowledge.",info@cleanenergycorp248.com
Renewable Systems Integration Analyst,Sustainable Energy,"Vienna, Austria","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Vienna, Austria. Skills Required: ESG Frameworks, Python, Energy Modeling, SQL, Cloud Infrastructure. Preferred Qualifications: CEM Certification, Experience in smart city projects.",info@ecovision257976932.com
AI for Energy Optimization Engineer,Environmental Engineering,"Dublin, Ireland","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Dublin, Ireland. Skills Required: Smart Grid Technology, Energy Modeling, Embedded Systems, SQL, Java. Preferred Qualifications: CEM Certification, Cloud sustainability knowledge.",info@ecosolutions30478896503285756.com
Renewable Systems Integration Analyst,Computer Science,"Barcelona, Spain","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Barcelona, Spain. Skills Required: SQL, Python, Energy Modeling, ESG Frameworks, LCA. Preferred Qualifications: LEED Certification, Experience in smart city projects.",info@enerpure701.com
Energy Efficiency Data Analyst,Electrical Engineering,"Vienna, Austria","Responsibilities: Design and implement energy-efficient Electrical Engineering solutions in Vienna, Austria. Skills Required: Java, Python, SQL, LEED, Embedded Systems. Preferred Qualifications: M.S. or Ph.D. in relevant field, Cloud sustainability knowledge.",info@sustainovate313.com
Energy Efficiency Data Analyst,Data Science,"Athens, Greece","Responsibilities: Design and implement energy-efficient Data Science solutions in Athens, Greece. Skills Required: C++, MATLAB, Java, LEED, ISO 50001. Preferred Qualifications: CEM Certification, M.S. or Ph.D. in relevant field.",info@ecovision257976.com
Green IT Consultant,Computer Science,"Oslo, Norway","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Oslo, Norway. Skills Required: MATLAB, IoT, Embedded Systems, R, Cloud Infrastructure. Preferred Qualifications: Cloud sustainability knowledge, CEM Certification.",info@bioinnovate918326461.com
Renewable Systems Integration Analyst,Electrical Engineering,"Copenhagen, Denmark","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Copenhagen, Denmark. Skills Required: Java, Smart Grid Technology, Embedded Systems, R, LCA. Preferred Qualifications: LEED Certification, Experience with green computing.",info@carbonnet41413825.com
Energy Efficiency Data Analyst,Computer Science,"Prague, Czech Republic","Responsibilities: Design and implement energy-efficient Computer Science solutions in Prague, Czech Republic. Skills Required: Java, IoT, LCA, Smart Grid Technology, SQL. Preferred Qualifications: CEM Certification, Carbon-aware computing expertise.",info@ecostrive132320.com
Eco-Friendly Software Developer,Data Science,"Munich, Germany","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Munich, Germany. Skills Required: R, Smart Grid Technology, ESG Frameworks, SQL, Embedded Systems. Preferred Qualifications: CEM Certification, LEED Certification.",info@greenfuturetech147672.com
Green IT Consultant,Information Technology,"Oslo, Norway","Responsibilities: Design and implement energy-efficient Information Technology solutions in Oslo, Norway. Skills Required: Smart Grid Technology, C++, R, ESG Frameworks, Python. Preferred Qualifications: Cloud sustainability knowledge, CEM Certification.",info@windsphere281.com
AI for Energy Optimization Engineer,Environmental Engineering,"Vienna, Austria","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Vienna, Austria. Skills Required: C++, Machine Learning, Carbon Accounting, LCA, IoT. Preferred Qualifications: LEED Certification, CEM Certification.",info@verdanttech.com
Eco-Friendly Software Developer,Data Science,"Budapest, Hungary","Responsibilities: Design and implement energy-efficient Data Science solutions in Budapest, Hungary. Skills Required: IoT, Power Electronics, Python, LEED, Smart Grid Technology. Preferred Qualifications: Knowledge of renewable energy systems, Experience with green computing.",info@ecosolutions590.com
Energy Efficiency Data Analyst,Sustainable Energy,"Copenhagen, Denmark","Responsibilities: Design and implement energy-efficient Sustainable Energy solutions in Copenhagen, Denmark. Skills Required: SQL, IoT, Embedded Systems, R, MATLAB. Preferred Qualifications: M.S. or Ph.D. in relevant field, LEED Certification.",info@renewablelogic643688.com
Sustainable Systems Engineer,Computer Science,"Athens, Greece","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Athens, Greece. Skills Required: Smart Grid Technology, Cloud Infrastructure, ISO 50001, Java, Embedded Systems. Preferred Qualifications: Knowledge of renewable energy systems, CEM Certification.",info@ecogenix545507119478.com
Energy Efficiency Data Analyst,Environmental Engineering,"Munich, Germany","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Munich, Germany. Skills Required: LEED, SQL, Smart Grid Technology, IoT, MATLAB. Preferred Qualifications: CEM Certification, Experience with green computing.",info@renewablelogic643220442380.com
Sustainable Systems Engineer,Computer Science,"Milan, Italy","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Milan, Italy. Skills Required: C++, Python, ESG Frameworks, SQL, R. Preferred Qualifications: LEED Certification, Experience in smart city projects.",info@ecosolutions304788961737.com
Energy Efficiency Data Analyst,Environmental Engineering,"Milan, Italy","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Milan, Italy. Skills Required: Machine Learning, Smart Grid Technology, Python, SQL, Java. Preferred Qualifications: Cloud sustainability knowledge, Knowledge of renewable energy systems.",info@renewablelogic643887901.com
Carbon Footprint Data Scientist,Electrical Engineering,"Zurich, Switzerland","Responsibilities: Design and implement energy-efficient Electrical Engineering solutions in Zurich, Switzerland. Skills Required: Energy Modeling, IoT, Smart Grid Technology, Machine Learning, Java. Preferred Qualifications: Knowledge of renewable energy systems, Carbon-aware computing expertise.",info@naturetech.com
Energy Efficiency Data Analyst,Sustainable Energy,"Berlin, Germany","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Berlin, Germany. Skills Required: ISO 50001, Smart Grid Technology, Power Electronics, LCA, Python. Preferred Qualifications: Knowledge of renewable energy systems, Carbon-aware computing expertise.",info@cleanenergycorp731.com
AI for Energy Optimization Engineer,Data Science,"Helsinki, Finland","Responsibilities: Analyze and optimize energy usage using data science tools in Helsinki, Finland. Skills Required: Embedded Systems, LCA, Smart Grid Technology, Python, Energy Modeling. Preferred Qualifications: Experience with green computing, Experience in smart city projects.",info@ecostrive13295.com
Green IT Consultant,Information Technology,"Munich, Germany","Responsibilities: Design and implement energy-efficient Information Technology solutions in Munich, Germany. Skills Required: Smart Grid Technology, Machine Learning, Power Electronics, Embedded Systems, LCA. Preferred Qualifications: Knowledge of renewable energy systems, Experience in smart city projects.",info@renewablelogic643121490.com
Eco-Friendly Software Developer,Sustainable Energy,"Athens, Greece","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Athens, Greece. Skills Required: Python, ISO 50001, IoT, MATLAB, Cloud Infrastructure. Preferred Qualifications: Experience in smart city projects, Cloud sustainability knowledge.",info@cleanvolt.com
Green IT Consultant,Electrical Engineering,"Milan, Italy","Responsibilities: Analyze and optimize energy usage using data science tools in Milan, Italy. Skills Required: IoT, Smart Grid Technology, Cloud Infrastructure, Energy Modeling, R. Preferred Qualifications: CEM Certification, Experience with green computing.",info@carbonnet414.com
Smart Grid Engineer,Information Technology,"Athens, Greece","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Athens, Greece. Skills Required: Machine Learning, Power Electronics, LEED, Cloud Infrastructure, IoT. Preferred Qualifications: Cloud sustainability knowledge, M.S. or Ph.D. in relevant field.",info@renewablelogic64322060793399856568.com
Sustainable Systems Engineer,Data Science,"Barcelona, Spain","Responsibilities: Analyze and optimize energy usage using data science tools in Barcelona, Spain. Skills Required: Cloud Infrastructure, MATLAB, Java, Machine Learning, ESG Frameworks. Preferred Qualifications: Experience with green computing, CEM Certification.",info@renewablelogic643220219254.com
IoT Sustainability Specialist,Computer Science,"Munich, Germany","Responsibilities: Design and implement energy-efficient Computer Science solutions in Munich, Germany. Skills Required: Python, ESG Frameworks, C++, Java, IoT. Preferred Qualifications: CEM Certification, Experience with green computing.",info@enerpure539.com
Smart Grid Engineer,Electrical Engineering,"Berlin, Germany","Responsibilities: Design and implement energy-efficient Electrical Engineering solutions in Berlin, Germany. Skills Required: LEED, Carbon Accounting, Python, SQL, Energy Modeling. Preferred Qualifications: Carbon-aware computing expertise, Cloud sustainability knowledge.",info@solarworks15696.com
Renewable Systems Integration Analyst,Sustainable Energy,"Barcelona, Spain","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Barcelona, Spain. Skills Required: Carbon Accounting, Python, MATLAB, Machine Learning, ISO 50001. Preferred Qualifications: LEED Certification, Experience with green computing.",info@renewablelogic643220607933.com
Green IT Consultant,Sustainable Energy,"Budapest, Hungary","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Budapest, Hungary. Skills Required: MATLAB, R, Python, Carbon Accounting, SQL. Preferred Qualifications: LEED Certification, Carbon-aware computing expertise.",info@carbonnet41418.com
Smart Grid Engineer,Data Science,"Paris, France","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Paris, France. Skills Required: R, Cloud Infrastructure, Python, SQL, C++. Preferred Qualifications: LEED Certification, Experience in smart city projects.",info@nextgeneco.com
IoT Sustainability Specialist,Environmental Engineering,"Vienna, Austria","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Vienna, Austria. Skills Required: MATLAB, Machine Learning, ESG Frameworks, Smart Grid Technology, LCA. Preferred Qualifications: M.S. or Ph.D. in relevant field, Knowledge of renewable energy systems.",info@cleanenergycorp73146636.com
IoT Sustainability Specialist,Sustainable Energy,"Athens, Greece","Responsibilities: Design and implement energy-efficient Sustainable Energy solutions in Athens, Greece. Skills Required: MATLAB, IoT, Power Electronics, ESG Frameworks, ISO 50001. Preferred Qualifications: Experience with green computing, Cloud sustainability knowledge.",info@renewablelogic643887507286748.com
Renewable Systems Integration Analyst,Electrical Engineering,"Athens, Greece","Responsibilities: Design and implement energy-efficient Electrical Engineering solutions in Athens, Greece. Skills Required: LCA, LEED, R, Carbon Accounting, ESG Frameworks. Preferred Qualifications: Experience in smart city projects, Carbon-aware computing expertise.",info@ecosolutions30478.com
Green IT Consultant,Information Technology,"Prague, Czech Republic","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Prague, Czech Republic. Skills Required: LCA, SQL, LEED, R, Java. Preferred Qualifications: M.S. or Ph.D. in relevant field, Experience in smart city projects.",info@windsphere406920115.com
Energy Efficiency Data Analyst,Environmental Engineering,"Zurich, Switzerland","Responsibilities: Analyze and optimize energy usage using data science tools in Zurich, Switzerland. Skills Required: Energy Modeling, Power Electronics, Machine Learning, LEED, Embedded Systems. Preferred Qualifications: LEED Certification, Knowledge of renewable energy systems.",info@renewablelogic643220617.com
Sustainable Systems Engineer,Computer Science,"Zurich, Switzerland","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Zurich, Switzerland. Skills Required: LEED, Smart Grid Technology, Energy Modeling, IoT, MATLAB. Preferred Qualifications: M.S. or Ph.D. in relevant field, LEED Certification.",info@ecosolutions30478669687808.com
Green IT Consultant,Electrical Engineering,"Warsaw, Poland","Responsibilities: Design and implement energy-efficient Electrical Engineering solutions in Warsaw, Poland. Skills Required: LEED, Machine Learning, Embedded Systems, Carbon Accounting, C++. Preferred Qualifications: Cloud sustainability knowledge, Knowledge of renewable energy systems.",info@cleanenergycorp73146636432.com
Carbon Footprint Data Scientist,Information Technology,"Vienna, Austria","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Vienna, Austria. Skills Required: C++, LCA, R, Power Electronics, Machine Learning. Preferred Qualifications: Carbon-aware computing expertise, LEED Certification.",info@ecosolutions590473.com
Energy Efficiency Data Analyst,Electrical Engineering,"Lisbon, Portugal","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Lisbon, Portugal. Skills Required: ISO 50001, Energy Modeling, Carbon Accounting, Embedded Systems, Smart Grid Technology. Preferred Qualifications: Cloud sustainability knowledge, Knowledge of renewable energy systems.",info@ecovision257.com
Carbon Footprint Data Scientist,Information Technology,"Prague, Czech Republic","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Prague, Czech Republic. Skills Required: Smart Grid Technology, Energy Modeling, ESG Frameworks, Power Electronics, MATLAB. Preferred Qualifications: Experience with green computing, Carbon-aware computing expertise.",info@enerpure654.com
AI for Energy Optimization Engineer,Environmental Engineering,"Dublin, Ireland","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Dublin, Ireland. Skills Required: ISO 50001, Embedded Systems, Energy Modeling, R, Machine Learning. Preferred Qualifications: M.S. or Ph.D. in relevant field, Cloud sustainability knowledge.",info@ecosolutions30478896503285.com
Green Cloud Architect,Computer Science,"Milan, Italy","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Milan, Italy. Skills Required: LEED, MATLAB, LCA, Power Electronics, C++. Preferred Qualifications: M.S. or Ph.D. in relevant field, Carbon-aware computing expertise.",info@renewablelogic64322060793399856.com
Green Cloud Architect,Sustainable Energy,"Budapest, Hungary","Responsibilities: Analyze and optimize energy usage using data science tools in Budapest, Hungary. Skills Required: ESG Frameworks, ISO 50001, R, Python, Machine Learning. Preferred Qualifications: Knowledge of renewable energy systems, M.S. or Ph.D. in relevant field.",info@ecovision257614744698.com
AI for Energy Optimization Engineer,Computer Science,"Berlin, Germany","Responsibilities: Analyze and optimize energy usage using data science tools in Berlin, Germany. Skills Required: Energy Modeling, Machine Learning, Smart Grid Technology, C++, Power Electronics. Preferred Qualifications: Knowledge of renewable energy systems, CEM Certification.",info@cleanenergycorp248488.com
Eco-Friendly Software Developer,Computer Science,"Oslo, Norway","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Oslo, Norway. Skills Required: Embedded Systems, LEED, IoT, Carbon Accounting, Java. Preferred Qualifications: Knowledge of renewable energy systems, Experience with green computing.",info@windsphere406719.com
Green Cloud Architect,Data Science,"Amsterdam, Netherlands","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Amsterdam, Netherlands. Skills Required: ESG Frameworks, LCA, IoT, ISO 50001, Smart Grid Technology. Preferred Qualifications: LEED Certification, Cloud sustainability knowledge.",info@enerpure844995.com
Green IT Consultant,Data Science,"Oslo, Norway","Responsibilities: Analyze and optimize energy usage using data science tools in Oslo, Norway. Skills Required: Power Electronics, Smart Grid Technology, Java, R, MATLAB. Preferred Qualifications: Knowledge of renewable energy systems, LEED Certification.",info@renewablelogic643220143.com
Carbon Footprint Data Scientist,Computer Science,"Stockholm, Sweden","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Stockholm, Sweden. Skills Required: Cloud Infrastructure, LCA, Carbon Accounting, Power Electronics, IoT. Preferred Qualifications: Cloud sustainability knowledge, LEED Certification.",info@ecosolutions30478896503285228.com
Sustainable Systems Engineer,Sustainable Energy,"Barcelona, Spain","Responsibilities: Design and implement energy-efficient Sustainable Energy solutions in Barcelona, Spain. Skills Required: LCA, Energy Modeling, LEED, Smart Grid Technology, Python. Preferred Qualifications: Cloud sustainability knowledge, M.S. or Ph.D. in relevant field.",info@sustainovate.com
Sustainable Systems Engineer,Environmental Engineering,"Berlin, Germany","Responsibilities: Design and implement energy-efficient Environmental Engineering solutions in Berlin, Germany. Skills Required: IoT, Energy Modeling, Smart Grid Technology, LEED, SQL. Preferred Qualifications: Knowledge of renewable energy systems, CEM Certification.",info@ecogenix617.com
Green Cloud Architect,Information Technology,"Warsaw, Poland","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Warsaw, Poland. Skills Required: IoT, LEED, Carbon Accounting, MATLAB, SQL. Preferred Qualifications: M.S. or Ph.D. in relevant field, Experience in smart city projects.",info@sustainovate313175.com
Energy Efficiency Data Analyst,Computer Science,"Helsinki, Finland","Responsibilities: Analyze and optimize energy usage using data science tools in Helsinki, Finland. Skills Required: Machine Learning, Cloud Infrastructure, SQL, MATLAB, R. Preferred Qualifications: Knowledge of renewable energy systems, M.S. or Ph.D. in relevant field.",info@ecogenix892747732.com
AI for Energy Optimization Engineer,Information Technology,"Brussels, Belgium","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Brussels, Belgium. Skills Required: Carbon Accounting, Embedded Systems, IoT, ISO 50001, Cloud Infrastructure. Preferred Qualifications: Experience in smart city projects, Knowledge of renewable energy systems.",info@enerpure844442.com
Smart Grid Engineer,Computer Science,"Munich, Germany","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Munich, Germany. Skills Required: Energy Modeling, ESG Frameworks, Smart Grid Technology, Power Electronics, Machine Learning. Preferred Qualifications: CEM Certification, Experience in smart city projects.",info@greengrid.com
Sustainable Systems Engineer,Electrical Engineering,"Copenhagen, Denmark","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Copenhagen, Denmark. Skills Required: MATLAB, Embedded Systems, Cloud Infrastructure, R, Energy Modeling. Preferred Qualifications: Experience in smart city projects, LEED Certification.",info@ecosolutions30478669687.com
Green IT Consultant,Computer Science,"Budapest, Hungary","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Budapest, Hungary. Skills Required: LCA, SQL, Embedded Systems, LEED, Java. Preferred Qualifications: M.S. or Ph.D. in relevant field, Knowledge of renewable energy systems.",info@greenleap555176878.com
Renewable Systems Integration Analyst,Information Technology,"Prague, Czech Republic","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Prague, Czech Republic. Skills Required: Energy Modeling, Smart Grid Technology, R, C++, LCA. Preferred Qualifications: Knowledge of renewable energy systems, Carbon-aware computing expertise.",info@ecogenix545.com
Sustainable Systems Engineer,Sustainable Energy,"Athens, Greece","Responsibilities: Analyze and optimize energy usage using data science tools in Athens, Greece. Skills Required: Energy Modeling, LCA, Carbon Accounting, ISO 50001, LEED. Preferred Qualifications: CEM Certification, Knowledge of renewable energy systems.",info@bioinnovate918326.com
Sustainable Systems Engineer,Sustainable Energy,"Helsinki, Finland","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Helsinki, Finland. Skills Required: Embedded Systems, Energy Modeling, Power Electronics, R, Java. Preferred Qualifications: Experience in smart city projects, Knowledge of renewable energy systems.",info@cleanenergycorp248488731.com
Carbon Footprint Data Scientist,Electrical Engineering,"Helsinki, Finland","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Helsinki, Finland. Skills Required: C++, Power Electronics, Java, IoT, Embedded Systems. Preferred Qualifications: Experience with green computing, Carbon-aware computing expertise.",info@windsphere40692048.com
AI for Energy Optimization Engineer,Information Technology,"Athens, Greece","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Athens, Greece. Skills Required: Energy Modeling, SQL, IoT, Embedded Systems, Smart Grid Technology. Preferred Qualifications: Experience with green computing, Experience in smart city projects.",info@enerpure225492.com
Renewable Systems Integration Analyst,Electrical Engineering,"Vienna, Austria","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Vienna, Austria. Skills Required: IoT, Energy Modeling, LEED, ISO 50001, SQL. Preferred Qualifications: Knowledge of renewable energy systems, Experience with green computing.",info@enerpure844580.com
Sustainable Systems Engineer,Data Science,"Copenhagen, Denmark","Responsibilities: Design and implement energy-efficient Data Science solutions in Copenhagen, Denmark. Skills Required: Python, Power Electronics, Carbon Accounting, Machine Learning, Cloud Infrastructure. Preferred Qualifications: M.S. or Ph.D. in relevant field, Carbon-aware computing expertise.",info@bioinnovate146241.com
IoT Sustainability Specialist,Sustainable Energy,"Berlin, Germany","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Berlin, Germany. Skills Required: R, Carbon Accounting, LCA, Machine Learning, IoT. Preferred Qualifications: Cloud sustainability knowledge, Knowledge of renewable energy systems.",info@cleanenergycorp7314663643278.com
Renewable Systems Integration Analyst,Computer Science,"Vienna, Austria","Responsibilities: Analyze and optimize energy usage using data science tools in Vienna, Austria. Skills Required: C++, Energy Modeling, Python, SQL, ISO 50001. Preferred Qualifications: Experience with green computing, Knowledge of renewable energy systems.",info@ecovision25761474.com
IoT Sustainability Specialist,Data Science,"Zurich, Switzerland","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Zurich, Switzerland. Skills Required: Machine Learning, LEED, Smart Grid Technology, Cloud Infrastructure, C++. Preferred Qualifications: LEED Certification, CEM Certification.",info@renewablelogic643220442.com
Energy Efficiency Data Analyst,Information Technology,"Lisbon, Portugal","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Lisbon, Portugal. Skills Required: Machine Learning, IoT, ESG Frameworks, Carbon Accounting, Smart Grid Technology. Preferred Qualifications: Knowledge of renewable energy systems, LEED Certification.",info@enerpure844442912.com
Green Cloud Architect,Computer Science,"Stockholm, Sweden","Responsibilities: Analyze and optimize energy usage using data science tools in Stockholm, Sweden. Skills Required: Carbon Accounting, LEED, Smart Grid Technology, Python, R. Preferred Qualifications: Cloud sustainability knowledge, Experience with green computing.",info@greengrid745.com
Green IT Consultant,Sustainable Energy,"Dublin, Ireland","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Dublin, Ireland. Skills Required: LEED, Python, Cloud Infrastructure, SQL, Machine Learning. Preferred Qualifications: CEM Certification, Experience with green computing.",info@renewablelogic643220607933998.com
Smart Grid Engineer,Environmental Engineering,"Stockholm, Sweden","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Stockholm, Sweden. Skills Required: Energy Modeling, Smart Grid Technology, SQL, ESG Frameworks, LCA. Preferred Qualifications: M.S. or Ph.D. in relevant field, Experience with green computing.",info@ecosolutions304359775.com
AI for Energy Optimization Engineer,Computer Science,"Brussels, Belgium","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Brussels, Belgium. Skills Required: LEED, ISO 50001, Carbon Accounting, LCA, Python. Preferred Qualifications: Experience with green computing, M.S. or Ph.D. in relevant field.",info@enerpure844580133.com
Carbon Footprint Data Scientist,Environmental Engineering,"Dublin, Ireland","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Dublin, Ireland. Skills Required: Smart Grid Technology, Energy Modeling, Machine Learning, C++, ISO 50001. Preferred Qualifications: Knowledge of renewable energy systems, Experience in smart city projects.",info@terranova654.com
Smart Grid Engineer,Computer Science,"Barcelona, Spain","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Barcelona, Spain. Skills Required: ISO 50001, Power Electronics, IoT, Embedded Systems, Cloud Infrastructure. Preferred Qualifications: M.S. or Ph.D. in relevant field, Cloud sustainability knowledge.",info@renewablelogic643220607.com
Sustainable Systems Engineer,Computer Science,"Budapest, Hungary","Responsibilities: Analyze and optimize energy usage using data science tools in Budapest, Hungary. Skills Required: SQL, LCA, Java, Python, C++. Preferred Qualifications: LEED Certification, Experience with green computing.",info@ecosolutions30478669801.com
Green Cloud Architect,Sustainable Energy,"Zurich, Switzerland","Responsibilities: Design and implement energy-efficient Sustainable Energy solutions in Zurich, Switzerland. Skills Required: Energy Modeling, Java, SQL, LEED, ESG Frameworks. Preferred Qualifications: CEM Certification, Cloud sustainability knowledge.",info@ecosolutions30478181.com
Eco-Friendly Software Developer,Computer Science,"Athens, Greece","Responsibilities: Analyze and optimize energy usage using data science tools in Athens, Greece. Skills Required: R, Embedded Systems, SQL, LCA, Machine Learning. Preferred Qualifications: CEM Certification, Carbon-aware computing expertise.",info@enerpure844255.com
Carbon Footprint Data Scientist,Environmental Engineering,"Dublin, Ireland","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Dublin, Ireland. Skills Required: Java, Embedded Systems, LCA, ESG Frameworks, Python. Preferred Qualifications: CEM Certification, Cloud sustainability knowledge.",info@renewablelogic643220143991.com
IoT Sustainability Specialist,Electrical Engineering,"Munich, Germany","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Munich, Germany. Skills Required: Python, Power Electronics, Embedded Systems, R, IoT. Preferred Qualifications: Knowledge of renewable energy systems, Experience with green computing.",info@ecogenix.com
Green Cloud Architect,Sustainable Energy,"Amsterdam, Netherlands","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Amsterdam, Netherlands. Skills Required: Python, C++, Cloud Infrastructure, SQL, Embedded Systems. Preferred Qualifications: Cloud sustainability knowledge, Experience with green computing.",info@ecovision25761362963.com
IoT Sustainability Specialist,Computer Science,"Madrid, Spain","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Madrid, Spain. Skills Required: C++, IoT, Cloud Infrastructure, ESG Frameworks, LCA. Preferred Qualifications: Knowledge of renewable energy systems, LEED Certification.",info@windsphere406920.com
Green IT Consultant,Environmental Engineering,"Zurich, Switzerland","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Zurich, Switzerland. Skills Required: C++, Embedded Systems, IoT, R, Smart Grid Technology. Preferred Qualifications: CEM Certification, Cloud sustainability knowledge.",info@ecosolutions30478844.com
Energy Efficiency Data Analyst,Environmental Engineering,"Berlin, Germany","Responsibilities: Analyze and optimize energy usage using data science tools in Berlin, Germany. Skills Required: R, IoT, SQL, MATLAB, C++. Preferred Qualifications: Experience in smart city projects, M.S. or Ph.D. in relevant field.",info@greenleap555.com
Smart Grid Engineer,Sustainable Energy,"Warsaw, Poland","Responsibilities: Design and implement energy-efficient Sustainable Energy solutions in Warsaw, Poland. Skills Required: LCA, Carbon Accounting, ESG Frameworks, ISO 50001, Embedded Systems. Preferred Qualifications: M.S. or Ph.D. in relevant field, LEED Certification.",info@ecosolutions30478181789.com
Sustainable Systems Engineer,Environmental Engineering,"Amsterdam, Netherlands","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Amsterdam, Netherlands. Skills Required: Java, Power Electronics, SQL, R, ISO 50001. Preferred Qualifications: Cloud sustainability knowledge, Experience in smart city projects.",info@cleanenergycorp731466946916.com
IoT Sustainability Specialist,Computer Science,"Warsaw, Poland","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Warsaw, Poland. Skills Required: LCA, C++, IoT, Power Electronics, R. Preferred Qualifications: CEM Certification, M.S. or Ph.D. in relevant field.",info@enerpure225187138716736.com
