Index,Title,Description,University,Course Cycle
52,Broadband Networks,"Elective: 3-0 Networking technologies for multimedia services, circuit switching, packet switching, frame relay, optical switching. Synchronous Digital Hierarchy (SDH/SONET). Neτwork architectures for broadband communications, basic reference model, reference configuration, protocol reference model. Asynchronous Transfer Mode (ATM), ATM Adaptation Layer (AAL), network management. Switchnig architectures. Traffic engineering, resource allocation, connection admission control (CAC), usage parameter control, priority and traffic shaping algorithms. Service classes, available bit rate services. Traffic modeling and performance evaluation of CAC algorithms and switching architectures. Signalling and service control, Intelligent Networks (IN). Access networks, passive optical networks (PONs), xDSL, broadband local and metropolitan networks, wireless broadband access networks. Interworking and interoperability, quality of service.",NTUA,Telecommunications
53,Information Theory,"Entropy, relative entropy and mutual information, asymptotic equipartition property, entropy rate of a stochastic process, data compression, gambling, channel capacity, differential entropy, Gaussian channel, rate distortion theory, information theory and statistics, maximum entropy, universal source coding, Kolmogorov complexity, network information theory, application of information theory on portfolio theory, inequalities in information theory.",NTUA,Business Management & Information Systems
54,Network Management – Intelligent Networks,"The course aims at introducing students to Network Management, with emphasis on Internet based architectures and protocols. The course material consists of Lecture Notes, Laboratory Exercises & On-line Lectures (synchronized video/audio and transparencies), yearly updated and accessed via the Network Management & Optimal Design Laboratory (NETMODE) web site - www.netmode.ece.ntua.gr. Topics covered include:

The Network Management Framework FCAPS (Fault, Configuration, Accounting, Performance & Security) definitions
Review of the TCP/IP protocol suite and current networking advances in optical Backbone Networks, broadband Access and Local Area Networks. Illustration via the NTUA Campus LAN, the Greek Academic& Research Network GRNET and the Pan-European optical backbone GÉANT
Commercial service providers, peering and service provisioning
Management of TCP/IP networks – the Simple Network Management Protocol (SNMP)
Management & operations at lower layers, Ethernet switching, Virtual Local Area Networks (VLANs)
Security management: Digital certificates, Public Key Infrastructures (PKI), Authentication & Authorization Infrastructures (AAI), intrusion and anomaly detection
Virtual Private Networks (VPNs), Cloud computing and Service Oriented Architectures (SOA)
Intelligent Software Defined Networks – SDN, OpenFlow Control Architectures
Students get hands-on experience at the NTUA PC Labs. Laboratory exercises involve using TCP/IP based protocol analysis and network management Software tools.",NTUA,Telecommunications
55,Optical Communication Networks,"Optical links and constraints. Wavelength Division Multiplexing (WDM) technology. Fundamental optical network devices and switches. Optical Multiplexers-Demultiplexers, Optical Cross-Connects (OXCs), Passive non-configurable and active reconfigurable OXCs, Wavelength-Convertible Cross Connects Switches (WCS), Wavelength Converters. Broadcast and Select Networks. Passive Star Topology. Wavelength Selective Switches. Planning and Operation of Optical Networks. Routing and Wavelength Assignment (RWA) problem. Integer Linear Programming (ILP) Formulations. Heuristic algorithms. Dynamic Wavelength Assignment (RWA). Physical Layer Impairments and Impairment-Aware RWA. Spectrum-Flexible Networks and Modulation Level Adaptability. The Routing and Spectrum Allocation (RSA) problem. Defragmentation, Re-optimization and Multi-period Planning of Optical Networks. Physical and Virtual Topology. Virtual topology design formulation and optimization problem. Mixed Integer Linear Programming (MILP) formulations. Optical Packet Switched Networks. The Staggering, SLOB, and Scheduling Optical Switch Architectures. Optical Burst Switching (OBS) Network Architecture, burst assembly, classification of signaling schemes. Connection establishment and flow control protocols. Just Enough Time (JET), Just In Time (JIT), Tell and Wait (TAW), Tell and Go (TAG), and Virtual Circuit Deflection (VCD) protocols. Metropolitan Area Networks (MANs). Datacenters, Optical Interconnects and Topologies. Software Defined Networking (SDN).",NTUA,Mobile & Wireless Communication Systems
118,Design of Analog Microelectronic Circuits,Introduction to CMOS and BiCMOS technologies. Small-signal models of semiconductor devices (MOS and bipolar transistors). Analog IC layout rules. Basic bias circuits in CMOS technologiew. Basic amplification cells. Design of CMOS operational amplifiers. Design of transconductor elements. Sample-and-hold circuits. A/D and D/A circuit design. Extensive usage of EDA tools throught the course.,NTUA,Embedded and Control Systems
56,Social Network Analysis,"Introduction to Network Science: Basic Network Definitions, Network Role and Different Applications, Topology Checking and Networking. Graph Theory Elements and Overview of Basic Definitions. Structure and characteristics of complex and social networks: random network models, small-world networks, power-law networks, scale-free networks, regular networks, random geometric networks (random geometric graphs), etc. Complex and social network analytics elements: analytics metrics (node ​​degree distribution, aggregation coefficient, network centrality, etc.), selective connectivity and network creation / evolution. Evolutionary computation: genetic algorithms, cognitive algorithms, parallel computation and heuristic computation methods. Applications in Telecommunications and Computer Science: topology control, routing and resource allocation, effect of network structure on dissemination of information / opinion formation, impact of social networks on recommendation systems, epidemiological information models, collaboration and synchronization, impact of social networks on systems communication.The laboratory exercises focus on collecting free / open data from social networks, data processing and statistical analysis to study topologies and features of different networks, identify network influence nodes, detect communities with similar features, disseminate information / system study, methods of social constitution.",NTUA,Telecommunications
57,Applied and Computational Electromagnetics,"Solution of Laplace equation in cylindrical and spherical coordinates by separation of variables. Conformal mapping (complex analytical functions. Mobius and Schwarz-Christoffel transformations). Laplace equation for the scalar magnetic potential and its applications in the calculation of magnetostatic fields. Electric and vector magnetic potentials in time varying fields (definitions, Lorentz condition, wave equation and Helmholtz equation, applications). Calculation of electromagnetic forces with the use of electromagnetic stresses. Maxwell equations for slow time variations (quasistatics, connection with circuit theory, applications).",NTUA,Cryptography Systems
58,Microwaves,"This course introduces the basic principles of high frequency technologies and especially focuses on tackling the crucial problem of a telecommunication engineer, which is data (and energy) transmission with minimum distortion and attenuation. Firstly, the propagation of EM waves in infinite space is studied by stressing attenuation and distortion issues. Then, the propagation in transmission lines is examined with emphasis on the composite resistance of the line. The problem of loading matching is also investigated and different load matching techniques are evaluated. At a following stage, the mechanisms of waveguiding are investigated with emphasis on the waveguiding through metallic orthogonal and cyclic waveguides. Additionally, the properties of coaxial lines and microstrips, which are widely used in hybrid or integrated microwave circuits, are also studied. The analysis of the aforementioned waveguiding phenomena will provide the students the necessary skills to analyze other types of waveguides. The last part of this course is dedicated to the theory of microwave networks, which is based on the use of scattering matrices (S-parameters). During the course, the students are assigned homework exercises, as well as practicing with CAD tools for the aforementioned subjects.",NTUA,Applied Electronics
59,Propagation of electromagnetic waves in plasmas,"Ionized media and plasmas in nature and in the laboratory. Introductory kinetic theory and statistical description. Collisionless Vlasov-Hartree-Fock equation. Dispersion relations in ionized media in general (magnetized and un-magnetized). Cold medium - test particle description and derivation of the cold plasma dispersion relation in various forms (Stix, Allis). Linearized Vlasov equation in unmagnetized media. Linear dispersion tensor in thermal electron and electron-ion plasmas. Description of the various modes supported in such media. Landau damping. Magnetized linearized Vlasov equation and Harris dispersion relation. Dispersion.",NTUA,Electromagnetic Theory
60,Modulation and Transmission Systems,"Signal processing in digital communication systems. Filtering and amplification of digital signals. Frequency conversion. Multilevel modulation. Amplitude/phase modulation schemes. Frequency modulation schemes. Pulse shaping. Raised cosine pulses. Error performance of multilevel modulation schemes in AWGN channels. Fading. Adaptive transmission. Power control. Diversity protection. Theory and technologies of switching systems including internet routers, optical switches, wireless switches, packet and circuit switches. Packet scheduling algorithms, multicast copy techniques, call splitting. Classification of switching architectures, space and time division switching, buffering techniques and performance. Input-buffered switches, crossbar, shared memory switches, Banyan, sorting networks, Knockout. Optical switches, optical CDMA, high speed TDM, wavelength division switches. Scheduling algorithms (PIM, iRRM, iSLIP, DRRM). Internet switching, IP route lookup algorithms, buffer management techniques. Wireless switches, mobility support. Examples of switching technologies.",NTUA,Transmission Systems
61,Optical Science and Engineering,"Review of applications of optical science and technology. Introduction to optical sources: blackbody radiator, line sources, light emitting diodes (LED), lasers. Spatial and temporal coherence of light sources. Elements of Radiometry and Photometry. Geometrical Optics: Image formation, paraxial optics. Optical components, thin and thick lenses, prisms, optical beam dividers. Matrix theory ABCD of optical systems. Cardinal points/planes of an optical system. Introduction to photographic camera. Microscope and telescope. Aberrations in optical systems, monochromatic and polychromatic. Wave and electromagnetic optics: Polarized light, reflection and refraction, Brewster's angle. Wave interference, constructive and destructive interfe-rence. Fabry-Perot and Michelson interferometers. Scalar theory of diffraction. Rayleigh-Sommerfeld, Fresnel and Faunhofer diffraction regimes. Cornu spiral, Fresnel zone plates. Diffraction gratings. Optics of Transformations: optical Fourier transforms, holograms, optical data processing, pattern recognition, image enhancement, optical memories. Light and matter interactions: Birefringence, electro-optic, magneto-optic and acousto-optic devices.",NTUA,Optical Engineering
62,Antennas,"Introduction to antenna theory. Hertzian dipole. Applications of electrically small antennas. The linear dipole antenna. Radiation field of arbitrary antennas. Directivity, gain, radiation resistance, effective height. Image theory, images of antennas. Travelling-wave antennas. The small circular loop. Antenna arrays. The rhombic antenna. Uniform, end-fire, and broadside arrays. Phase detection. Polynomial array theory. Superdirective arrays. Radiation-pattern synthesis, basics of array design. The reciprocity theorem in electromagnetic theory. Current and voltage sources, principle of duality. General formulas for the calculation of self- and mutual antenna impedance; application to dipole antennas. Dipole quality factor and bandwidth. Array antenna feeds. Baluns, stub matching, the folded dipole. Yagi-Uda arrays. Antennas as receivers. Identity theorems on transmit and receive. Receiver equivalent circuit. Effective area-to-directivity ratio. Received power.",NTUA,Wireless Systems & Antenna Design
143,Data Science 1: Data Literacy for Green Insights,"Introduction to data analysis and visualization with sustainability applications. Students will work on projects like tracking energy consumption, waste reduction, and environmental KPIs.",NTUA,Data Science
63,Computational Techniques for Information Transmission Systems,"The scope of the course is to make the students familiar with modern and advanced computation techniques for the effective design and optimization of information transmission systems. The core principles of these techniques are introduced by modelling specific devices, which are practically used in telecommunication systems (transmission lines, antenna elements etc.) and cannot be tackled with analytical methods. Emphasis is given to software implementation issues, so that the students become capable of developing the appropriate software within the framework of laboratory practice. To this end, the following topics are taught:
• Advanced techniques of numerical integration and direct solution of linear systems with dense coefficient matrices for the implementation of the method of moments and the method of auxiliary sources.
• Elements of computational geometry and automatic mesh creation for the implementation of the methods of finite differences and finite elements.
• Techniques for sparse matrices storage and repetitive techniques for solving linear systems with sparse matrices.
• Techniques of pre-processing and post-processing for handling and visualization of the input and output of the computational code (e.g. by use of VRML).
• Principles of literal programming for the documentation of the computational code.
Due to the increased computational requirements that are common for large-scale problems, part of the course is dedicated to distributed computing techniques and to the way they are applied to the simulation of information transmission systems. The students get acquainted with some of the most important distributed processing technologies (CORBA, Java RMI, Web Services, Mobile Agents) and are called to apply them in the laboratory exercises.",NTUA,Predictive Analytics
64,Photonic Technology in Telecommunications,"Photonic devices used in telecommunication systems. The wave propagation equation and the fundamentals of optical wave guiding: single-mode, multi-mode optical fibers and introduction to the design and modeling of Photonic Integrated Circuits (PICs) using software tools based on numerical solution of the wave equation. Propagation of optical signals in single-mode fibers and signal quality degradation. Loss: origin of optical loss in fibers and loss management. Dispersion: Group Velocity Dispersion (GVD), third order dispersion, waveguide dispersion, dispersion-induced degradation of optical systems, dispersion compensation and management approaches. Nonlinear effects: Self Phase Modulation (SPM), Cross Phase Modulation (XPM), Four Wave Mixing (FWM), Stimulated Brillouin Scattering (SBS), and Stimulated Raman Scattering (SRS).Passive photonic devices: directional couplers, optical filters, optical isolators, optical circulators. Fiber interferometers: Mach-Zehnder Interferometer, Fabry-Perot Interferometer and Sagnac Interferometer. Polarization of optical signals and polarization control. Active photonic devices: semiconductor lasers, optical amplifiers, optical modulators and optical receivers. Introduction to all-optical data processing: Ultrafast optical logic using Sagnac fiber logic gates. Introduction to multiplexing schemes in optical communication systems: Optical Time Division Multiplexing (OTDM) and Wavelength Division Multiplexing (WDM).",NTUA,Multimedia Structures
65,Special Topics in Electromagnetics,"Sturm-Liouville problems, orthogonal functions. Curvilinear coordinate systems. Solution of Laplace equation in curvilinear coordinates by separation of variables. Electromagnetic potentials (scalar and vector electric/magnetic potential, Hertz potentials). Solution of Helmholtz equation in cartesian, cylindrical and spherical coordinates with applications to radiation, propagation and scattering. Theory and applications of Green's functions. Theorems of electromagnetics. Integral equations in electromagnetics.",NTUA,Electromagnetics Theory
66,Electromagnetic Compatibility,"Definitions. Types of Electromagnetic Interference. EMC Directives. Self-certification procedure. Technical file procedure. Radiation from planar apertures. Transmission network. Radiator feeds. Measurements of basic antenna parameters. Inductive coupling. Radiative coupling. Absorbing materials. Anechoic chambers. Near-field measurements. Analysis of electromagnetic interference. Common- and differential-mode transmission models. Models for radiation from digital currents. Models for transmission-line and printed-circuit interference. Theoretical and practical considerations of shielding systems. Interference due to a common conducting path. Crosstalk and electromagnetic coupling. Analysis of coupled-line geometries: Analysis in the frequency domain; low-frequency model for electrically small, loosely coupled lines. Coupling due to common resistance: Frequency-domain coupling analysis; equivalent lumped circuits; distributed parameter estimations. Crosstalk in printed circuits. Concise description of EMC IEC/EN specifications. Open Area Test Site (OATS): Mathematical model and basic parameters; error correction in the FCC prototype; measurement of Site Attenuation using Antenna Factors; analysis of correction factors; installation of an OATS; comparison between OATS and other measurement setups. Interference in telecommunication systems: Problem analysis; methods for reducing interference.",NTUA,Electromagnetics Theory
67,Fiber Optics Telecommunications,"The course covers the technology of fiber optics telecommunications. The topics covered are distributed into the theory of guiding of electromagnetic waves in dielectric structures and the theory of detection and signal processing of modulated of optical signals. The course consists of the following chapters: guiding in planar dielectric structures, propagation in single mode and multimode optical fibers, detection of optical signals and design of telecommunication systems.",NTUA,Transmission Systems
68,Optical Fiber Transmission Systems,"Overview of optical fiber transmission systems and basic principles of optical fiber transmission.Overview of signal degradation due to linear and nonlinear fiber transmission effects. Signal quality evaluation techniques and metrics for quantitative signal assessment. Description of optical amplifiers:gain and noise. Design and assembly of erbium-doped fiber amplifier (EDFA). Design of optical fiber transmission links with dispersion management and optical signal-to-noise (OSNR) optimization using optical amplifier chains. Optical signal modulation: description of main modulation formats (amplitude/phase) and higher-order modulation formats. Coherent transmission systems: basic principles, transmitter and coherent receiver designs and digital signal processing (DSP) algorithms. Design and realization of digital equalization algorithms in Matlab for carrier recovery in coherent detection systems.",NTUA,Transmission Systems
69,Wireless Links and Propagation,"Current distribution on linear antennas. Hallen’s and Pocklington’s integral equations. Antenna input impedance. Propagation of electromagnetic waves in presence of Earth. Effect of Earth curvature and ground irregularities. Fresnel theory, Brewster angle. Elevated antennas and optical horizon. Diffraction and scattering of electromagnetic waves, Fresnel zones. Models of electromagnetic wave propagation. Tropospheric waves. Ground-wave propagation. Lumped-circuit equivalent of transmit and receive antennas. Attenuation in LOS and NLOS links. Shadowing. Multipath propagation and coherence bandwidth. Doppler phenomenon and coherence time. Frequency selective channels. Flat fading channels. Slow and fast fading channels. Fading due to atmospheric precipitations. Error performance in fading channels. Fade mitigation techniques. Adaptive coding and modulation. Diversity techniques.",NTUA,Electromagnetic Theory
70,Mobile Communication Systems,"Mobile Communications Vision. Energy Efficient Communications. Radiowave Propagation-Losses and Propagation of Mobile Communication Networks (at Microwave and Millimeter Frequencies). Analytical and Empirical Deterministic Models. Large Scale Fading-Shadowing. Small Scale Fading and Channel Characterization in Mobile Communication Networks in Outdoor and Indoor Environment. Cellular Systems. Interference Analysis. Interference Mitigation Techniques. Dimensioning of Mobile Networks-Traffic (Voice, Data and Multimedia) Analysis. Capacity of Multiple Access Systems (FDMA, TDMA, CDMA). Digital Diversity Techniques. Multiple Antenna Systems. Space-Time Transmission Codes-Alamouti Scheme. Antenna Radiation Hazards. 2G, 3G and 4G Mobile Communication Systems. Backhaul Communication Networks (Millimeter and Optical).Cooperative and Radio Relaying Techniques. Security in Mobile Communication Networks. Mobile Satellite Communication Networks. 5G Mobile Communication Systems. Network Selection Problem and Resources Allocation Optimization. Location Based Services and Techniques for Outdoor and Indoor Environment.
Exercises and Numerical Examples for all the Chapters of the Course. Numerical Calculations and Simulation Homeworks using MATLAB.",NTUA,Mobile & Wireless Communication Systems
71,Radar Systems and Remote Sensing,"• Principles of radar systems. Radar equation. Detection theory for radar systems.
• Principles of scattering theory for radar targets (Physical Optics, Boundary Conditions, Geometrical Optics, Geometrical theory of Diffraction, Scattering from cylinder and sphere etc.)
• Coherent radar systems: Continuous Wave (CW) radar, Continuous Wave with Frequency Modulation (CW-FM) radar, Moving Target Indicator (MTI) radar, Synthetic Aperture Radar (SAR).
• Radar signal processing: matched filter – correlation receiver, radar measurement errors, ambiguity function for emitted radar signals.",NTUA,Remote Sensing and Radars
72,Satellite Communications,Satellite orbits and frequency zones. Geosynchronous and geostationary satellites. Satellite antennas. Link budget in satellite communications. The satellite repeater. Satellite signal processing. Interference in satellite communications. Rain fade mitigation for satellite communications. Availability and reliability of satellite links. Multiple access in satellite communications. The DVB-S2 standard. TCP over satellite. Call admission control in satellite communication networks.,NTUA,Digital & Satellite Communication
73,Introduction to Biophotonics and Cellular Engineering,"Basics of cell structure and functions. Biological macromolecules. Membranes, neurons: ions transport physical model and potentials. Introduction to geometrical optics. Eye structure and function. Absorbance, scattering and fluorescence. Optical Instruments and sensors, CCD and PMT. Optical and fluorescence microscopy.Physical principles of Laser: properties and applications in Bioengineering. Laser scanning confocal microscopy in 3D imaging. Interaction of light with the biological systems.Laser tissue interactions and applications.",NTUA,Software Engineering Fundamentals
74,Introduction to Biomedical Engineering,"This course will survey the integration of engineering principles to medical diagnosis/treatment of disease and monitoring/measurement of physiological function. Case studies will be used to highlight how engineering has advanced medical practice and understanding. Examples will be drawn from bioelectricity, biomechanics, biotransport, bioimaging and medical decision support. Basic principles of science and engineering will be applied to formulate, study and solve problems at the interface of engineering, medicine and biology. The goal is twofold: first, to quantitatively study important functions of living systems (cardiac contraction, blood circulation, limb movement) and understand the underlying molecular, cellular, physiological mechanisms and second, to get insight into engineering principles that are necessary to develop systems and devices to improve health care. While the course will focus primarily on the engineering aspects of related topics, issues related with patient safety, public policy and regulation, animal and in silico experimentation, etc., will be discussed as appropriate.",NTUA,Software Engineering Fundamentals
75,Biomedical Technology Laboratory,Emergency Telemedicine; Electronic Medical Record; Medical Imaging and Image Processing Techniques; Robotic Surgery – The Da Vinci System; Virtual Reality – Visualisation and VRML; Nuclear Magnetic Resonance; Electromagnetic Dosimetry for mobile communication terminal equipment. Virtual Simulation of Radiotherapy Treatment Planning.,NTUA,Microprocessors
76,Biomedical Signal Analysis and Processing,"Digital processing of biological signals: methods and processing techniques, design and implementation of digital filtering, applications. Physiology of the heart and Electrocardiogram (ECG): the myocardium, the rhythmic heart excitation, the normal ECG, cardiac arrhythmias and their electrocardiac manifestation, the electronic instrumentation required to capture heart signals. Blood pressure measurements: arterial, pulmonary and venal blood pressure, systolic and diastolic pressure, arterial pressure waveforms, transmission and reflection, blood pressure measurement methods, direct and indirect method. Physiology of the brain and Electroencephalogram (EEG): elementary brain neurophysiology, function of the electroencephalograph, EEG characteristics, processing and information extraction, evoked potentials measurement and interpretation. Electromyography: skeletal muscle structure, neural transmission, Electromyogram (EMG), EMG with electrical transmission, EMG applications, muscle simulation. Electromechanics of biological fluids: fundamental principles of fluid mechanics, hemorrheology, circulation system, blood composition and function, cell electromechanic properties measurement techniques. Presentation of specific applications from the real time processing of biosignals towards the development of medical decision support systems, the detection of arrhythmias, the detection of various compoundsin NMR, etc",NTUA,Parallel Processing in Distributed Systems
77,Measurement and Control in Biomedical Engineering,"During this laboratory exercise set, students practice on recording a Muscular Operations and Electromyogram (EMG), on Heart Physiology and the ECG, the Brain Physiology and EEG. They visit an I.C.U. and learn all about its important monitoring and measurement aspects and control. Fluorescent properties of biological samples. Technical characteristics and measurments in ultrasound imaging. Optical imaging microscopy – Study of photodynamic effects on red blood cells.
Confocal laser scanning microscopy.",NTUA,Software Engineering Fundamentals
78,Principles of Biomedical Instrumentation,"Introduction to Biomedical Instrumentation, Measurements, Design Characteristics, Regulations.
Biomedical Electronics. Amplifiers and Signal Processing.
Basic Sensors: Temperature and Pressure Sensors, Optical Biosensors; Fiber Optic Biosensors, Fluorescence Sensors, Biomedical Applications.
Biomedical Laser Systems. Medical Laser Safety.
Light-Activated Therapy, Photodynamic Therapy.
Medical Ultrasounds. Ultrasounds Imaging; A-Mode, B-Mode, M-Mode, Doppler Systems. Medical Ultrasounds Safety.
Microarray Technology for Genomics and Proteomics.
Clinical Laboratory: Analytical Methods; Spectrophotometers, Fluorometers, Analyzers, Flow-Cytometry, Drug Monitoring.",NTUA,Microprocessors
144,Data Science 2: Predictive Modeling for Environmental Impact,"Covers machine learning techniques to forecast trends such as pollution levels, resource usage, or climate patterns. Emphasis on ethical modeling and minimizing data-processing energy costs.",NTUA,Data Science
79,Medical Imaging and Image Processing,"Introduction to, and comparison of modern medical imaging modalities: Computed Tomography (CT), Magnetic Resonance Imaging (MRI), Nuclear Medicine Imaging, Diagnostic Ultrasound. Medical image reconstruction: useful definitions (projection, linear integral), Fourier slice theorem, filtered back projection, iterative image reconstruction algorithms, artefacts in the reconstructed images. X-ray computed tomography (CT): Physics, instrumentation, data acquisition geometries, tomographic image reconstruction, helical CT. Magnetic Resonance Imaging (MRI): Nuclear Magnetic Resonance (NMR), Bloch equation, data acquisition, pulse sequences, relaxation processes and their measurement, MR imaging equation and reconstruction. Ultrasound (US) Imaging Techniques: physical principles, sound production and detection, beam forming techniques, pulse-echo imaging, real time imaging, Doppler imaging. Nuclear medicine and Single Photon Emission Computed Tomography (SPECT): radiopharmaceuticals, Anger Camera, principles of operation, instrumentation and image reconstruction. Positron Emission Tomography (PET): physics, radiopharmaceuticals, instrumentation, clinical applications. Basic principles of medical image processing and analysis: denoising, segmentation, texture analysis, three-dimensional visualization, computer aided diagnosis and treatment. Training exercises inbiomedical image reconstruction and processing using Matlab environment. Training exercises in biomedical image reconstruction and processing using Matlab environment.",NTUA,Image and Video Processing
80,"Physiological Systems Modeling, Simulation and Control","This course introduces students to computer-based mathematical modeling techniques to evaluate the structure and function of physiological systems through the analysis of their dynamic behavior. It includes the following topics: Applications of mathematical & computer physiological models; Fundamental principles, processes and tools in model development; Analysis and synthesis of dynamic models; Compartmental models of physiological systems; Neural Networks for physiological systems modeling and control; Identification of physiological systems; Cardiovascular system physiology, modeling and control; Modeling of glucose-insulin metabolic system; Introduction to bioinformatics and computational biology; Modeling of tumor growth and response to radiotherapy. The course includes laboratory exercises on bioinformatics and computational biology, modeling of tumor growth and response to radiotherapy, modeling of glucose-insulin metabolic system, computational neuroscience, emphasizing the exploitation of the corresponding tools towards improving both diagnosis and disease treatment.",NTUA,Simulations in Telecommunication Systems
81,m-health and e-health Technologies,"Health data, information and knowledge. Health data analysis. Electronic health record. Health information exchange. Regulations and standards for health data. Architecture of health information systems. Privacy and security of health data. Mobile communications and mobile health. Evidence-based medicine and clinical guidelines. Participatory, precise and personalized medicine. Disease management and disease records. Strategies to improve quality in healthcare delivery. Patient safety and information technology. Telemedicine. Imaging Informatics. Bioinformatics. Public health informatics. Continuous spectrum of interconnected health; prevention of acute and chronic diseases. Use of cloud computing and analysis of large amounts of data to improve health services.",NTUA,Data Mining and Information Extraction
82,Applied Thermodynamics of Pure Substances,"Basic concepts and definitions. First Thermodynamic Axis, Perfect Gas, Cyclic Changes, Gas Carnot Circle, Reversible and No Phenomena, Second Thermodynamic Axis, Carnot Circle of any working medium. Thermodynamic Temperature Range, Entropy, T-S and H-S (Mollier) Diagrams, Thermodynamic Probability, Theoretical Mixing Entropy. Irreversible entropy entropy, Maxwell and Tds relations, Two-phase thermodynamics, Steam, Diagrams, Vapor Tables, Real gases, Thermodynamic representation of reversible processes, Joule-Thomson stragglers, Static equations, Static equations , Nozzles.",NTUA,Cryptography Systems
83,"Economic Analysis of Power Systems
","Electrical load analysis. Load forecasting models. Calculation of the system limit value. Financial Distribution of Lossless Power and Network Loss. Integration of production units. Investment costs, operating costs and average cost of electricity generation. Electricity billing. Basic principles of reliability of operation of electricity systems. Markovian methodology. Operational reliability indicators. Damage analysis method. 
Kritírio Olikís Apóleias Synecheías. Parodikés vláves. Axiopistía leitourgías systimáton paragogís ilektrikís enérgeias (vasikés pithanotikés méthodoi, méthodos sychnótitas kai diárkeias). Kóstos axiopistías leitourgías. Stratigikés syntírisis me kritíria axiopistías.
Continuity Total Loss Criterion. Temporary damage. Reliability of operation of power generation systems (basic probabilistic methods, frequency and duration method). Cost of operating reliability. Reliability maintenance strategies.
",NTUA,Power Systems
84,Electric Power Generation,"Elements of Thermodynamics: open and closed thermodynamic systems, first and second law of thermodynamics, entropy, enthalpy, available energy, state diagrams, thermodynamic cycles of Carnot and Rankine. Steam power plants: efficiency improvement, steam overheat, reheat turbine, feedwater preheaters. Environmental effects. Combined heat and power generation: advantages in terms of cost and emissions reduction. Hydro power plants: flow duration curve, hydraulic losses, hydro turbine types, specific speed, small and large power plants. Power generation from internal combustion engines, gas turbines, combined cycle plants.",NTUA,Electric Systems
85,Power System Analysis (Steady State),"Steady State generator models (d-q reactances, vector diagrams, active and reactive power), Effect of angle δ and excitation voltage on the active and reactive power of a synchronous machine, Machine overexcitation and underexcitation, Transmission Line and Transformer models in load flow analysis, Power balance equations, Compensation by static capacitors and inductors, Digital methods for load flow analysis, Fast Decoupled methods, parallel operation of electric machines, transformers with tap-changers, Voltage and reactive power regulation, Voltage regulating transformers, Regulation with static and synchronous capacitors, Voltage Stability and Collapse.",NTUA,Power Systems
86,Flexible AC Transmission Systems,Electrical characteristics of transmission lines consisting of single and multiple conductors. Equations and equivalent circuits of short- and medium-length transmission lines. Differential equations of long transmission lines. Two-port circuits. Inductive and capacitive compensation of transmission lines. Flexible AC Transmission Systems (FACTS) controlled by thyristors or converters. Static Var Compensators (SVC). Thyristor-Controlled Series Capacitors (TCSC). Phase-Shifters. STAtic synchronous COMpensators (STATCOM). Static Synchronous Series Compensators (SSSC). Unified Power Flow Controllers (UPFC). Operating characteristics of FACTS and their contribution to power system stability. The role of FACTS in Power Market Deregulation.,NTUA,Transmission Systems
145,Analytics 1: Foundations of Business Intelligence,"Teaches data warehousing, dashboards, and reporting tools with a lens on sustainable supply chains and operations.",NTUA,AI and Business Analytics
146,Analytics 2: Optimization & Decision Analytics for Sustainability,"Focuses on linear programming, simulation, and decision trees applied to reduce waste, energy consumption, and environmental footprint.",NTUA,Sustainable Analytics & Decision Optimization
87,Power System Analysis (Asymmetrical and Transient State),"Transient models of synchronous machines, Transient models of asynchronous (induction) machines, Transient and sub-transient impedances and time constants, Fault currents and fault levels, Equivalent system impedance, Short-circuit of generators under load, Short-circuit of power electronics interfaced generators, Symmetrical fault analysis, Asymmetrical three-phase systems, Sequence components (positive, negative, zero) and circuits, sequence components of rotating machines and transformers, Asymmetrical faults, Multiple network faults, Earthing effects on short-circuit voltages, Asymmetrical loading of transformers, Analysis of complex line impedances, Asymmetries in three-phase transmission lines, Clarke Transformation.",NTUA,Power Systems
88,Electricity Distribution Networks,"Technical characteristics of loads. Calculation of power flows, voltages, power losses and energy losses in distribution networks with concentrated and distributed loads. Voltage regulation. Calculation of the maximum distributed power output that can be introduced into a distribution system. Optimal operation and development of distribution systems. Technologies, management, design and development of smart distribution systems. Basic principles of modeling the reliability of distribution systems operation. Total Continuity Loss Criterion. Calculation of reliability indicators in radial systems. Means of protection, failure states and failure modeling. Cargo switching actions. Standard for the supply of electricity to consumers (in general, characteristics of medium and low voltage distribution systems, power quality).",NTUA,Electrical Networks
89,Energy Economics,"Main concepts in energy analysis and economics. Energy measurement units. Energy balances, energy flow diagrams. Energy system optimization and long-term energy planning. Methods and models of energy demand forecasting. Energy commodity costing and pricing. Economics of energy markets, networks and competition. Energy systems analysis and economics for climate change mitigation. History of energy markets and policies. Current energy policies in Greece and in the European Union.",NTUA,Sustainable Energy 
90,Supervision and Management of Energy Systems,"Basic principles of conventional industrial automation. Applications of relays and digital controllers in energy and industrial plants. Sensors of digital signals (buttons, contacts, photocells, limit switches, thermal relays, undervoltage relays) and transducers of analog signals (voltage, current, power, flow, pressure).Programmable logic controllers (PLC) and supervisory control and data acquisition (SCADA) systems. Industrial communication protocols (Industrial Ethernet, Profibus, Modbus, Instabus). PLC programming languages (Statement List-STL, Ladder Logic-LAD, Function Block Diagram-FBD). PLC applications (electric networks, motor control, level and flow control, conveyor belts). Laboratory exercises with realistic systems.",NTUA,Sustainable Energy 
